,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
94524,360D2D336913EE56,classic_bike,2021-01-04 00:04:54,2021-01-04 00:18:26,D St & Maryland Ave NE,31612.0,5th St & Massachusetts Ave NW,31265.0,38.894758,-76.997114,38.900929999999995,-77.018677,member
41355,38B768EBC7E07A5E,classic_bike,2021-01-04 00:25:58,2021-01-04 00:56:47,3rd & Elm St NW,31118.0,3rd & Elm St NW,31118.0,38.917621999999994,-77.01597,38.917621999999994,-77.01597,casual
95510,D21AAF3000607814,classic_bike,2021-01-04 00:27:35,2021-01-04 00:36:32,5th St & Massachusetts Ave NW,31265.0,1st & M St NE,31603.0,38.900929999999995,-77.018677,38.905696999999996,-77.005483,casual
95521,1CA4734C7B634B50,classic_bike,2021-01-04 00:29:08,2021-01-04 00:36:17,5th St & Massachusetts Ave NW,31265.0,1st & M St NE,31603.0,38.900929999999995,-77.018677,38.905696999999996,-77.005483,casual
16755,953EAE7F665FD190,electric_bike,2021-01-04 00:33:32,2021-01-04 00:54:26,Anacostia Metro,31801.0,Livingston Rd & 3rd St SE,31818.0,38.86267,-76.99461683333334,38.82377383333333,-77.00224566666667,casual
53641,304B3FC6E553BFDF,classic_bike,2021-01-04 00:36:16,2021-01-04 00:43:28,Thomas Circle,31241.0,14th & V St NW,31101.0,38.9059,-77.0325,38.917764500000004,-77.032096,member
24174,5E1E8D8FCA20AA74,electric_bike,2021-01-04 00:43:57,2021-01-04 00:55:37,Calvert & Biltmore St NW,31106.0,Connecticut & Nebraska Ave NW,31310.0,38.923159166666665,-77.04775583333333,38.955001,-77.06996766666667,casual
81368,0467A314C57C053A,classic_bike,2021-01-04 01:35:16,2021-01-04 01:38:10,14th & R St NW,31202.0,New Hampshire Ave & T St NW,31229.0,38.913046,-77.03200799999999,38.915544,-77.038252,casual
50367,0DE2E78E584B03BB,classic_bike,2021-01-04 01:49:11,2021-01-04 01:57:17,Eastern Market Metro / Pennsylvania Ave & 8th St SE,31613.0,13th & D St NE,31622.0,38.884260087971725,-76.99473559856416,38.894832,-76.987633,member
58724,6206622BBE40A27A,classic_bike,2021-01-04 01:50:49,2021-01-04 02:17:35,Columbia Pike & S Oakland St,31058.0,Clarendon Blvd & Pierce St,31016.0,38.860789000000004,-77.09586,38.893438,-77.076389,casual
99440,74B33126865C8506,electric_bike,2021-01-04 01:53:04,2021-01-04 02:01:39,Washington Blvd & 10th St N,31026.0,Arlington Blvd & N Queen St,31051.0,38.88470983333333,-77.09347783333334,38.889315833333335,-77.07733633333334,casual
95884,A0AF63CBCDCBA476,classic_bike,2021-01-04 02:13:19,2021-01-04 02:31:59,14th & Rhode Island Ave NW,31203.0,13th & H St NE,31611.0,38.9086,-77.0323,38.90042673988099,-76.98825001716614,member
15862,048A6382FF966A41,electric_bike,2021-01-04 03:39:45,2021-01-04 03:53:09,Virginia Square Metro / Monroe St & 9th St N,31024.0,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,31068.0,38.88280783333333,-77.10317533333334,38.85657116666667,-77.11165283333334,casual
23655,3FA6B10596763C60,classic_bike,2021-01-04 04:07:37,2021-01-04 04:27:29,Georgia & New Hampshire Ave NW,31400.0,4th & C St SW,31243.0,38.9366839345886,-77.02418088912964,38.88637194054526,-77.01770067214966,casual
38367,53408AE51BD58147,classic_bike,2021-01-04 04:26:08,2021-01-04 04:33:59,14th St & New York Ave NW,31216.0,North Capitol St & F St NW,31624.0,38.899632000000004,-77.031686,38.897446,-77.009888,casual
28212,C72D052698619F92,classic_bike,2021-01-04 04:36:37,2021-01-04 04:42:41,Ft Myer Dr & Arlington Blvd,31937.0,Lynn St & 19th St North,31014.0,38.890863,-77.074893,38.897315,-77.070993,member
52911,A7B9E49A024503C2,classic_bike,2021-01-04 04:39:18,2021-01-04 05:04:01,New York Ave & Hecht Ave NE,31518.0,14th & V St NW,31101.0,38.915603999999995,-76.983683,38.917764500000004,-77.032096,member
93113,F53E3D23FDA5440C,classic_bike,2021-01-04 04:41:00,2021-01-04 04:50:13,14th & Rhode Island Ave NW,31203.0,New Hampshire Ave & 24th St NW,31275.0,38.9086,-77.0323,38.901755,-77.051084,member
69113,838CF1FD511A1BC3,classic_bike,2021-01-04 04:42:47,2021-01-04 04:51:31,11th & M St NW,31266.0,North Capitol St & F St NW,31624.0,38.9055785,-77.027313,38.897446,-77.009888,casual
14605,122375BC094DBAA9,electric_bike,2021-01-04 04:43:02,2021-01-04 04:54:00,Lynn St & 19th St North,31014.0,New Hampshire Ave & Ward Pl NW,31212.0,38.897452,-77.07085566666667,38.90560283333333,-77.04736783333334,member
59892,AB0A74686893EF0F,classic_bike,2021-01-04 04:51:29,2021-01-04 04:56:40,12th & L St NW,31251.0,7th & F St NW / National Portrait Gallery,31232.0,38.903819,-77.0284,38.89728304853854,-77.0221906900406,member
63829,9DD622369CF00BA3,classic_bike,2021-01-04 04:52:46,2021-01-04 05:06:50,Connecticut Ave & Newark St NW / Cleveland Park,31305.0,New Hampshire Ave & Ward Pl NW,31212.0,38.934267,-77.057979,38.90571079190728,-77.04731762409209,member
47441,206CCA4F2652EEC5,electric_bike,2021-01-04 05:00:16,2021-01-04 05:12:45,3rd & Elm St NW,31118.0,3rd & M St NE,31627.0,38.91759066666667,-77.01591133333334,38.905407000000004,-77.00226533333333,member
49336,AB4A1D6D4AFDC97F,classic_bike,2021-01-04 05:03:39,2021-01-04 05:10:48,1st & Rhode Island Ave NW,31506.0,15th & P St NW,31201.0,38.915417,-77.012289,38.909867999999996,-77.034421,member
30823,F50ADF7F6EA2EA38,classic_bike,2021-01-04 05:07:58,2021-01-04 05:24:15,Columbia Rd & Georgia Ave NW,31115.0,6th & H St NE,31615.0,38.92812111132096,-77.02379465103151,38.899972,-76.998347,member
10726,21BA2CA2E3165D6E,classic_bike,2021-01-04 05:08:08,2021-01-04 05:19:12,8th & F St NE,31631.0,L'Enfant Plaza / 7th & C St SW,31218.0,38.897273999999996,-76.994749,38.886266,-77.02224100000001,member
4696,8E8B4BC196407A8B,classic_bike,2021-01-04 05:09:24,2021-01-04 05:26:32,Monroe Ave & Leslie Ave,31087.0,Eads St & 12th St S,31071.0,38.820932,-77.053096,38.862753000000005,-77.05428,member
